source_term,canonical_term,final_disposition,category,priority,difficulty,expert_review_original,verification_status,canonical_slug,merge_target,synonyms,source_keywords,source_lsi,editorial_notes,batch_candidate
LTV,LTV,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,ltv,,пожизненная ценность клиента,"LTV, lifetime value","пожизненная ценность клиента, суммарный доход с пользователя, метрика удержания",Default KEEP pending pilot-standard drafting.,NO
MFA,MFA,DEFERRED,SEO fundamentals,LOW,MODERATE,YES,not_required,,,сайты под рекламу,"MFA, made for AdSense","сайты, созданные ради рекламного дохода, низкое качество контента, санкции поисковиков",Made-for-Advertising sites — confirm acronym usage for RU audience. | Made-for-Advertising acronym — confirm RU audience usefulness.,NO
Mixed content,Mixed content,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,mixed-content,,смешанный контент,mixed content,"смешанный контент, незащищённые элементы на HTTPS-странице, предупреждение браузера",Default KEEP pending pilot-standard drafting.,NO
Mobile-first indexing,Mobile-first indexing,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,mobile-first-indexing,,мобильная индексация,mobile-first индексация,"приоритет мобильной версии, индексация по мобильному сайту, адаптивность",Default KEEP pending pilot-standard drafting.,NO
Neural Matching,Neural Matching,APPROVED,AI search and GEO,MEDIUM,EXPERT,NO,standard,neural-matching,,нейронное сопоставление,Neural Matching,"сопоставление смысла запроса и документа, нейросетевой алгоритм, синонимичные формулировки",Default KEEP pending pilot-standard drafting.,NO
Noindex,Noindex,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,noindex,,тег noindex,noindex,"запрет индексации страницы, мета-тег robots, исключение из поисковой базы",Default KEEP pending pilot-standard drafting.,YES
Pay-per-Click (PPC),PPC,APPROVED_RENAME,contextual advertising,HIGH,SIMPLE,NO,standard,ppc,,оплата за переход,"Pay-per-Click, PPC","оплата за клик, модель рекламы, стоимость перехода",Prefer PPC; pay-per-click as full form in text.,YES
PBN,PBN,APPROVED,link building,MEDIUM,MODERATE,YES,verified_primary_framing,pbn,,private blog network,"PBN, сеть сайтов-сателлитов","собственная сеть доноров, риск санкций, искусственная ссылочная масса",Risky/black-hat adjacent — define neutrally with risk warning. | Approved with risk warning; neutral definition only.,NO
PR (PageRank),PageRank,APPROVED_RENAME,link building,LOW,MODERATE,YES,verified_primary_framing,pagerank,,пейджранк,"PageRank, PR","алгоритм авторитетности страницы Google, ссылочный вес страницы, историческая метрика",Ambiguous PR acronym (PR vs PageRank); use PageRank. | Approved as PageRank; disambiguate from PR marketing.,NO
RankBrain,RankBrain,APPROVED,AI search and GEO,MEDIUM,EXPERT,NO,standard,rankbrain,,алгоритм RankBrain,RankBrain,"элемент машинного обучения Google, обработка новых запросов, интерпретация смысла",Default KEEP pending pilot-standard drafting.,NO
ROI (окупаемость инвестиций),ROI,APPROVED_RENAME,analytics and metrics,MEDIUM,SIMPLE,NO,standard,roi,,окупаемость вложений,ROI в SEO,"возврат инвестиций, эффективность вложений в продвижение",Expand in definition; distinguish ROMI.,NO
ROMI,ROMI,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,romi,,рентабельность маркетинга,"ROMI, return on marketing investment","окупаемость маркетинговых инвестиций, эффективность рекламного бюджета, доходность вложений в продвижение",Default KEEP pending pilot-standard drafting.,NO
Sandbox,Google Sandbox,DEFERRED,SEO fundamentals,LOW,MODERATE,YES,not_required,,,эффект песочницы,"sandbox, песочница","временное ограничение видимости нового сайта, испытательный период, задержка ранжирования",Often mythical/overstated; expert decide KEEP with myth-busting or EXCLUDE. | Often mythical/overstated; defer until myth-busting framing approved.,NO
SEO,SEO,APPROVED,SEO fundamentals,HIGH,SIMPLE,NO,standard,seo,,search engine optimization,"SEO, поисковая оптимизация сайта","продвижение в поиске, органический трафик, работа с поисковыми системами",Foundational term.,YES
SERM,SERM,APPROVED,digital marketing,MEDIUM,MODERATE,YES,verified_primary_framing,serm,,search engine reputation management,"SERM, управление репутацией в поиске","работа с отзывами, вытеснение негатива из топа, репутационный маркетинг",Reputation management — confirm i-seo.su service relevance. | Approved as reputation-management practice term.,NO
Spam Score,Spam Score,DEFERRED,link building,LOW,MODERATE,YES,not_required,,,показатель спамности,Spam Score,"показатель Moz, риск санкций, доля спамных признаков домена",Moz proprietary metric — disclose or EXCLUDE. | Moz proprietary metric; defer pending vendor-disclosure decision.,NO
Spam Update,Spam Update,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,spam-update,,антиспам-апдейт,spam update,"обновление против спама, чистка выдачи, борьба с накруткой",Default KEEP pending pilot-standard drafting.,NO
SSL,HTTPS,MERGED,security and infrastructure,MEDIUM,SIMPLE,NO,not_required,,HTTPS,сертификат безопасности,SSL-сертификат,"шифрование данных, безопасное соединение, замок в браузере",Protocol layer behind HTTPS; synonym/related under HTTPS.,NO
TF-IDF,TF-IDF,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,tf-idf,,term frequency-inverse document frequency,TF-IDF,"статистическая мера значимости слова в документе, term frequency-inverse document frequency, алгоритм текстового анализа",Default KEEP pending pilot-standard drafting.,NO
URL-адрес,URL,DEFERRED,technical SEO,LOW,SIMPLE,YES,not_required,,,"URL, веб-адрес",URL-адрес,"адрес страницы в интернете, ссылка на ресурс, структура URL",Very basic; KEEP short or EXCLUDE. | Too basic relative to glossary scope.,NO
UTM-метки,UTM-метки,APPROVED,analytics and metrics,MEDIUM,MODERATE,NO,standard,utm-метки,,UTM-параметры,UTM-метки,"разметка ссылок для аналитики, источник и канал трафика, отслеживание кампаний",Default KEEP pending pilot-standard drafting.,NO
UX/UI (юзабилити и интерфейс),UX и UI,APPROVED_RENAME,UX and conversion,HIGH,MODERATE,NO,standard,ux-и-ui,,юзабилити,"UX, UI сайта","удобство пользователя, дизайн интерфейса, поведенческие факторы",Clearer Russian title; distinguish UX vs UI in body.,NO
Wayback Machine,Wayback Machine,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,wayback-machine,,веб-архив,Wayback Machine,"архив веб-страниц, история изменений сайта, проверка прошлых версий",Default KEEP pending pilot-standard drafting.,NO
WHOIS,WHOIS,APPROVED,security and infrastructure,MEDIUM,MODERATE,NO,standard,whois,,whois-сервис,WHOIS,"сервис проверки владельца домена, дата регистрации домена, контактные данные администратора",Default KEEP pending pilot-standard drafting.,NO
404 ошибка,Ошибка 404,APPROVED_RENAME,technical SEO,HIGH,SIMPLE,NO,standard,ошибка-404,,page not found,ошибка 404,"страница не найдена, битая ссылка, потеря трафика",Natural Russian order.,NO
410 ошибка,Ошибка 410,APPROVED_RENAME,technical SEO,MEDIUM,SIMPLE,NO,standard,ошибка-410,,gone,ошибка 410,"страница удалена окончательно, сигнал роботу, исключение из индекса",Natural Russian order; distinguish from 404.,NO
500 ошибка,Ошибка 500,APPROVED_RENAME,technical SEO,MEDIUM,SIMPLE,NO,standard,ошибка-500,,internal server error,ошибка 500,"внутренняя ошибка сервера, недоступность сайта, сбой хостинга",Natural Russian order.,NO
Юзабилити,UX и UI,MERGED,UX and conversion,MEDIUM,SIMPLE,NO,not_required,,UX и UI,usability,юзабилити сайта,"удобство использования, пользовательский опыт, простота навигации",Duplicate of UX concept; merge into UX/UI.,NO
