"negative","level","scope","token_type","decision","replacement","risk","representative_phrases","explanation","status"
"маркировка","group_cross","CORV-G05-02","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G05-02 — monitored stem","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с.","RESOLVED"
"обмен","group_cross","CORV-G05-02","stem-like token","SAFE","","Broad token «обмен» on group_cross/CORV-G05-02 — monitored stem","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","SAFE: no literal collision in owner groups; separates exchange groups CORV-G05-04/05; representative checks pass for 1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с.","RESOLVED"
"перенос","group_cross","CORV-G05-02","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G05-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с.","RESOLVED"
"битрикс","group_cross","CORV-G05-01","exact word","SAFE","","Broad token «битрикс» on group_cross/CORV-G05-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с настройка интеграции с сайтом; 1с унф интеграция с сайтом; интеграция 1с с сайтом.","RESOLVED"
"касса","group_cross","CORV-G05-01","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G05-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с настройка интеграции с сайтом; 1с унф интеграция с сайтом; интеграция 1с с сайтом.","RESOLVED"
"маркировка","group_cross","CORV-G05-01","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G05-01 — monitored stem","1с настройка интеграции с сайтом; 1с унф интеграция с сайтом; интеграция 1с с сайтом; интеграция сайта с 1с; интеграция сайта с 1с по api","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с настройка интеграции с сайтом; 1с унф интеграция с сайтом; интеграция 1с с сайтом.","RESOLVED"
"перенос данных","group_cross","CORV-G05-01","phrase","SAFE","","Broad token «перенос данных» on group_cross/CORV-G05-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с настройка интеграции с сайтом; 1с унф интеграция с сайтом; интеграция 1с с сайтом.","RESOLVED"
"сайт","group_cross","CORV-G05-03","stem-like token","REMOVE","","Bitrix/site phrases must not be blocked by bare «сайт» in owner group","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group","RESOLVED"
"битрикс","group_cross","CORV-G05-03","exact word","SAFE","","Broad token «битрикс» on group_cross/CORV-G05-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации.","RESOLVED"
"маркировка","group_cross","CORV-G05-03","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G05-03 — monitored stem","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации.","RESOLVED"
"перенос","group_cross","CORV-G05-03","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G05-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации.","RESOLVED"
"синхронизация","group_cross","CORV-G05-06","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"обмен","group_cross","CORV-G05-06","stem-like token","SAFE","","Broad token «обмен» on group_cross/CORV-G05-06 — monitored stem","миграция данных 1с; перенос данных в 1с","SAFE: no literal collision in owner groups; separates exchange groups CORV-G05-04/05; representative checks pass for миграция данных 1с; перенос данных в 1с.","RESOLVED"
"сайт","group_cross","CORV-G05-06","stem-like token","REMOVE","","Bitrix/site phrases must not be blocked by bare «сайт» in owner group","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group","RESOLVED"
"битрикс","group_cross","CORV-G05-06","exact word","SAFE","","Broad token «битрикс» on group_cross/CORV-G05-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for миграция данных 1с; перенос данных в 1с.","RESOLVED"
"касса","group_cross","CORV-G05-06","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G05-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for миграция данных 1с; перенос данных в 1с.","RESOLVED"
"сайт","group_cross","CORV-G05-04","stem-like token","REMOVE","","Bitrix/site phrases must not be blocked by bare «сайт» in owner group","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group","RESOLVED"
"битрикс","group_cross","CORV-G05-04","exact word","SAFE","","Broad token «битрикс» on group_cross/CORV-G05-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 зуп синхронизация; 1с бп синхронизация; 1с бух синхронизация.","RESOLVED"
"перенос данных","group_cross","CORV-G05-04","phrase","SAFE","","Broad token «перенос данных» on group_cross/CORV-G05-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 зуп синхронизация; 1с бп синхронизация; 1с бух синхронизация.","RESOLVED"
"касса","group_cross","CORV-G05-04","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G05-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8.3 зуп синхронизация; 1с бп синхронизация; 1с бух синхронизация.","RESOLVED"
"настройк обмен","group_cross","CORV-G05-04","phrase","SAFE","","Broad token «настройк обмен» on group_cross/CORV-G05-04 — monitored stem","1с 8.3 зуп синхронизация; 1с бп синхронизация; 1с бух синхронизация; 1с бухгалтерия 8.3 синхронизация; 1с бухгалтерия синхронизация","SAFE: no literal collision in owner groups; separates setup groups across directions; representative checks pass for 1с 8.3 зуп синхронизация; 1с бп синхронизация; 1с бух синхронизация.","RESOLVED"
"сайт","group_cross","CORV-G05-05","stem-like token","REMOVE","","Bitrix/site phrases must not be blocked by bare «сайт» in owner group","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","Regression REG-01: Bitrix/site phrases must not be blocked by bare «сайт» in owner group","RESOLVED"
"битрикс","group_cross","CORV-G05-05","exact word","SAFE","","Broad token «битрикс» on group_cross/CORV-G05-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for настройка обмена 1с; настройка обмена с честным знаком 1с; настройка обмена суз 1с честный знак.","RESOLVED"
"касса","group_cross","CORV-G05-05","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G05-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for настройка обмена 1с; настройка обмена с честным знаком 1с; настройка обмена суз 1с честный знак.","RESOLVED"
"перенос","group_cross","CORV-G05-05","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G05-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for настройка обмена 1с; настройка обмена с честным знаком 1с; настройка обмена суз 1с честный знак.","RESOLVED"
"закупок","group_cross","CORV-G04-01","exact word","SAFE","","Broad token «закупок» on group_cross/CORV-G04-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for расчет себестоимости 1с; себестоимость в 1с.","RESOLVED"
"планирован","group_cross","CORV-G04-01","exact word","SAFE","","Broad token «планирован» on group_cross/CORV-G04-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for расчет себестоимости 1с; себестоимость в 1с.","RESOLVED"
"календар","group_cross","CORV-G04-01","exact word","SAFE","","Broad token «календар» on group_cross/CORV-G04-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for расчет себестоимости 1с; себестоимость в 1с.","RESOLVED"
"платеж","group_cross","CORV-G04-01","exact word","SAFE","","Broad token «платеж» on group_cross/CORV-G04-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for расчет себестоимости 1с; себестоимость в 1с.","RESOLVED"
"себестоим","group_cross","CORV-G04-02","exact word","SAFE","","Broad token «себестоим» on group_cross/CORV-G04-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for планирование закупок 1с.","RESOLVED"
"календар","group_cross","CORV-G04-02","exact word","SAFE","","Broad token «календар» on group_cross/CORV-G04-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for планирование закупок 1с.","RESOLVED"
"платеж","group_cross","CORV-G04-02","exact word","SAFE","","Broad token «платеж» on group_cross/CORV-G04-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for планирование закупок 1с.","RESOLVED"
"себестоим","group_cross","CORV-G04-03","exact word","SAFE","","Broad token «себестоим» on group_cross/CORV-G04-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for платежный календарь 1с.","RESOLVED"
"закупок","group_cross","CORV-G04-03","exact word","SAFE","","Broad token «закупок» on group_cross/CORV-G04-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for платежный календарь 1с.","RESOLVED"
"планирован","group_cross","CORV-G04-03","exact word","SAFE","","Broad token «планирован» on group_cross/CORV-G04-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for платежный календарь 1с.","RESOLVED"
"отчет","group_cross","CORV-G03-04","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G03-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета.","RESOLVED"
"рмк","group_cross","CORV-G03-04","exact word","SAFE","","Broad token «рмк» on group_cross/CORV-G03-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета.","RESOLVED"
"маркировка","group_cross","CORV-G03-04","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-04 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета.","RESOLVED"
"создан","group_cross","CORV-G03-04","stem-like token","SAFE","","Broad token «создан» on group_cross/CORV-G03-04 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates report creation CORV-G03-02; representative checks pass for 1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета.","RESOLVED"
"отчет","group_cross","CORV-G03-06","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G03-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for доработка рмк 1с; настройка рмк 1с.","RESOLVED"
"печатная форма","group_cross","CORV-G03-06","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"маркировка","group_cross","CORV-G03-06","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-06 — monitored stem","доработка рмк 1с; настройка рмк 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for доработка рмк 1с; настройка рмк 1с.","RESOLVED"
"внешн","group_cross","CORV-G03-06","exact word","SAFE","","Broad token «внешн» on group_cross/CORV-G03-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for доработка рмк 1с; настройка рмк 1с.","RESOLVED"
"касса","group_cross","CORV-G03-06","exact word","SAFE","","Broad token «касса» on group_cross/CORV-G03-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for доработка рмк 1с; настройка рмк 1с.","RESOLVED"
"рмк","group_cross","CORV-G03-05","exact word","SAFE","","Broad token «рмк» on group_cross/CORV-G03-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма.","RESOLVED"
"маркировка","group_cross","CORV-G03-05","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-05 — monitored stem","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма.","RESOLVED"
"печатная форма","group_cross","CORV-G03-02","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"доработк","group_cross","CORV-G03-02","stem-like token","SAFE","","Broad token «доработк» on group_cross/CORV-G03-02 — monitored stem","новый отчет 1с; создание отчета 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for новый отчет 1с; создание отчета 1с.","RESOLVED"
"внешн","group_cross","CORV-G03-02","exact word","SAFE","","Broad token «внешн» on group_cross/CORV-G03-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for новый отчет 1с; создание отчета 1с.","RESOLVED"
"маркировка","group_cross","CORV-G03-02","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-02 — monitored stem","новый отчет 1с; создание отчета 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for новый отчет 1с; создание отчета 1с.","RESOLVED"
"рмк","group_cross","CORV-G03-02","exact word","SAFE","","Broad token «рмк» on group_cross/CORV-G03-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for новый отчет 1с; создание отчета 1с.","RESOLVED"
"печатная форма","group_cross","CORV-G03-01","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"внешн","group_cross","CORV-G03-01","exact word","SAFE","","Broad token «внешн» on group_cross/CORV-G03-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с.","RESOLVED"
"создан","group_cross","CORV-G03-01","stem-like token","SAFE","","Broad token «создан» on group_cross/CORV-G03-01 — monitored stem","1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с; настройка отчета 1с","SAFE: no literal collision in owner groups; separates report creation CORV-G03-02; representative checks pass for 1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с.","RESOLVED"
"маркировка","group_cross","CORV-G03-01","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-01 — monitored stem","1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с; настройка отчета 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с.","RESOLVED"
"рмк","group_cross","CORV-G03-01","exact word","SAFE","","Broad token «рмк» on group_cross/CORV-G03-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка отчета движение денежных средств; 1с доработка отчетов; доработка отчета 1с.","RESOLVED"
"доработк","group_cross","CORV-G03-03","stem-like token","SAFE","","Broad token «доработк» on group_cross/CORV-G03-03 — monitored stem","1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы; 1с макеты печатных форм; 1с печатная форма акта","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for 1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы.","RESOLVED"
"рмк","group_cross","CORV-G03-03","exact word","SAFE","","Broad token «рмк» on group_cross/CORV-G03-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы.","RESOLVED"
"маркировка","group_cross","CORV-G03-03","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G03-03 — monitored stem","1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы; 1с макеты печатных форм; 1с печатная форма акта","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы.","RESOLVED"
"внешн","group_cross","CORV-G03-03","exact word","SAFE","","Broad token «внешн» on group_cross/CORV-G03-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с 8 печатная форма; 1с вывести печатную форму; 1с изменение печатной формы.","RESOLVED"
"перенос","group_cross","CORV-G02-04","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G02-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for обновление доработанной 1с; обновление доработанных конфигураций 1с.","RESOLVED"
"исправлен","group_cross","CORV-G02-04","exact word","SAFE","","Broad token «исправлен» on group_cross/CORV-G02-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for обновление доработанной 1с; обновление доработанных конфигураций 1с.","RESOLVED"
"база","group_cross","CORV-G02-04","exact word","SAFE","","Broad token «база» on group_cross/CORV-G02-04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for обновление доработанной 1с; обновление доработанных конфигураций 1с.","RESOLVED"
"исправлен","group_cross","CORV-G02-05","exact word","SAFE","","Broad token «исправлен» on group_cross/CORV-G02-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for перенос доработок 1с; сохранение доработок при обновлении 1с.","RESOLVED"
"конфигурац","group_cross","CORV-G02-05","stem-like token","SAFE","","Broad token «конфигурац» on group_cross/CORV-G02-05 — monitored stem","перенос доработок 1с; сохранение доработок при обновлении 1с","SAFE: no literal collision in owner groups; separates config modification CORV-G02-02; representative checks pass for перенос доработок 1с; сохранение доработок при обновлении 1с.","RESOLVED"
"база","group_cross","CORV-G02-05","exact word","SAFE","","Broad token «база» on group_cross/CORV-G02-05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for перенос доработок 1с; сохранение доработок при обновлении 1с.","RESOLVED"
"перенос","group_cross","CORV-G02-06","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G02-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for исправление доработок после обновления 1с.","RESOLVED"
"конфигурац","group_cross","CORV-G02-06","stem-like token","SAFE","","Broad token «конфигурац» on group_cross/CORV-G02-06 — monitored stem","исправление доработок после обновления 1с","SAFE: no literal collision in owner groups; separates config modification CORV-G02-02; representative checks pass for исправление доработок после обновления 1с.","RESOLVED"
"база","group_cross","CORV-G02-06","exact word","SAFE","","Broad token «база» on group_cross/CORV-G02-06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for исправление доработок после обновления 1с.","RESOLVED"
"отчет","group_cross","CORV-G02-02","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G02-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с.","RESOLVED"
"печатная форма","group_cross","CORV-G02-02","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"маркировка","group_cross","CORV-G02-02","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G02-02 — monitored stem","1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с; доработка расширений 1с; доработка типовой конфигурации 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с.","RESOLVED"
"база","group_cross","CORV-G02-02","exact word","SAFE","","Broad token «база» on group_cross/CORV-G02-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с.","RESOLVED"
"перенос","group_cross","CORV-G02-02","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G02-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с.","RESOLVED"
"исправлен","group_cross","CORV-G02-02","exact word","SAFE","","Broad token «исправлен» on group_cross/CORV-G02-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с доработка через расширения; доработка конфигурации 1с; доработка модулей 1с.","RESOLVED"
"отчет","group_cross","CORV-G02-03","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G02-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for доработка базы 1с.","RESOLVED"
"печатная форма","group_cross","CORV-G02-03","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"маркировка","group_cross","CORV-G02-03","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G02-03 — monitored stem","доработка базы 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for доработка базы 1с.","RESOLVED"
"конфигурац","group_cross","CORV-G02-03","stem-like token","SAFE","","Broad token «конфигурац» on group_cross/CORV-G02-03 — monitored stem","доработка базы 1с","SAFE: no literal collision in owner groups; separates config modification CORV-G02-02; representative checks pass for доработка базы 1с.","RESOLVED"
"обновлен","group_cross","CORV-G02-03","stem-like token","SAFE","","Broad token «обновлен» on group_cross/CORV-G02-03 — monitored stem","доработка базы 1с","SAFE: no literal collision in owner groups; separates update custom base CORV-G02-04; representative checks pass for доработка базы 1с.","RESOLVED"
"перенос","group_cross","CORV-G02-03","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G02-03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for доработка базы 1с.","RESOLVED"
"отчет","group_cross","CORV-G02-01","exact word","SAFE","","Broad token «отчет» on group_cross/CORV-G02-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"печатная форма","group_cross","CORV-G02-01","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"маркировка","group_cross","CORV-G02-01","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G02-01 — monitored stem","1с бп доработка; 1с доработка цены; 1с ерп доработка; 1с фреш доработки; договор доработка 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"конфигурац","group_cross","CORV-G02-01","stem-like token","SAFE","","Broad token «конфигурац» on group_cross/CORV-G02-01 — monitored stem","1с бп доработка; 1с доработка цены; 1с ерп доработка; 1с фреш доработки; договор доработка 1с","SAFE: no literal collision in owner groups; separates config modification CORV-G02-02; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"база","group_cross","CORV-G02-01","exact word","SAFE","","Broad token «база» on group_cross/CORV-G02-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"обновлен","group_cross","CORV-G02-01","stem-like token","SAFE","","Broad token «обновлен» on group_cross/CORV-G02-01 — monitored stem","1с бп доработка; 1с доработка цены; 1с ерп доработка; 1с фреш доработки; договор доработка 1с","SAFE: no literal collision in owner groups; separates update custom base CORV-G02-04; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"перенос","group_cross","CORV-G02-01","exact word","SAFE","","Broad token «перенос» on group_cross/CORV-G02-01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for 1с бп доработка; 1с доработка цены; 1с ерп доработка.","RESOLVED"
"маркировка","group_cross","CORV-G01-02","stem-like token","SAFE","","Broad token «маркировка» on group_cross/CORV-G01-02 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for программист 1с новосибирск; программисты 1с новосибирск.","RESOLVED"
"не работает","group_cross","CORV-G01-02","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"доработка","group_cross","CORV-G01-02","stem-like token","SAFE","","Broad token «доработка» on group_cross/CORV-G01-02 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for программист 1с новосибирск; программисты 1с новосибирск.","RESOLVED"
"сопровождение","group_cross","CORV-G01-02","exact word","SAFE","","Broad token «сопровождение» on group_cross/CORV-G01-02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for программист 1с новосибирск; программисты 1с новосибирск.","RESOLVED"
